fecha;metodo;plaza;geografia;sexo;edad_exacta;edad;estudios;votara_presidente;votara_ballotage;p6;p7;voto_paso;pondedad;pondestudios;pondedadestudios;pondZonapais;pondedadestudiosZonapais;pondestudios2;pondedadestudiosZonapaisestudios2;pondedad2;pondedadestudiosZonapaisestudios2edad2;pondsexo;pondedadestudiosZonapaisestudios2edad2sexo;pondZonapais2;pondedadestudiosZonapaisestudios2edad2sexoZonapais2;pondvotant;pondedadestudiosZonapaisestudios2edad2sexoZonapais2votant;ponde3;pondedadestudiosZonapaisestudios2edad2sexoZonapais2votante3
2023-10-22;CATI;CABA;Caba;Femenino;60;50 y más;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Patricia Bullrich de Juntos por el Cambio;Milei;0.993659577869114;0.782605381427815;0.77764333294766;1.19501521232152;0.929295612632862;0.975018551558523;0.906080462198983;0.954809685901456;0.865134401513657;1.04072484306858;0.900366864248531;1.02051738530178;0.918840038115273;1.21027183995248;1.11204622355178;0.991546986539958;1.10264608185591
2023-10-22;CATI;CABA;Caba;Masculino;55;50 y más;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Sergio Massa de Unión por la Patria;Milei;0.993659577869114;0.782605381427815;0.77764333294766;1.19501521232152;0.929295612632862;0.975018551558523;0.906080462198983;0.954809685901456;0.865134401513657;0.959331845450532;0.829950981966838;1.02051738530178;0.846979406045443;1.21027183995248;1.02507532415648;0.991546986539958;1.01641034864383
2023-10-22;CATI;CABA;Caba;Masculino;58;50 y más;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Patricia Bullrich de Juntos por el Cambio;Milei;0.993659577869114;0.782605381427815;0.77764333294766;1.19501521232152;0.929295612632862;0.975018551558523;0.906080462198983;0.954809685901456;0.865134401513657;0.959331845450532;0.829950981966838;1.02051738530178;0.846979406045443;1.21027183995248;1.02507532415648;0.991546986539958;1.01641034864383
2023-10-22;CATI;CABA;Caba;Femenino;45;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Patricia Bullrich de Juntos por el Cambio;Patricia Bullrich de Juntos por el Cambio;Milei;0.965480472561764;0.782605381427815;0.755590213490306;1.19501521232152;0.902941799402181;0.975018551558523;0.880385005394761;0.99762896970369;0.878297585874553;1.04072484306858;0.914066117226807;1.02051738530178;0.932820363945251;1.21027183995248;1.12896621821716;0.991546986539958;1.11942305157864
2023-10-22;CATI;CABA;Caba;Masculino;53;50 y más;Nivel Secundario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Sergio Massa de Unión por la Patria;Milei;0.993659577869114;0.974540737993226;0.968361738330604;1.19501521232152;1.15720700833518;1.00421845030429;1.16208862859162;0.954809685901456;1.10957347845522;0.959331845450532;1.06444917274941;1.02051738530178;1.08628888656087;1.21027183995248;1.31470484945796;0.990908928351923;1.30275277347546
2023-10-22;CATI;CABA;Caba;Masculino;39;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Patricia Bullrich de Juntos por el Cambio;Milei;0.965480472561764;0.782605381427815;0.755590213490306;1.19501521232152;0.902941799402181;0.975018551558523;0.880385005394761;0.99762896970369;0.878297585874553;0.959331845450532;0.842578843911782;1.02051738530178;0.859866358699448;1.21027183995248;1.04067204005642;0.991546986539958;1.03187522529433
2023-10-22;CATI;CABA;Caba;Femenino;30;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Sergio Massa de Unión por la Patria;Milei;0.965480472561764;0.782605381427815;0.755590213490306;1.19501521232152;0.902941799402181;0.975018551558523;0.880385005394761;0.99762896970369;0.878297585874553;1.04072484306858;0.914066117226807;1.02051738530178;0.932820363945251;1.21027183995248;1.12896621821716;0.991546986539958;1.11942305157864
2023-10-22;CATI;CABA;Caba;Femenino;23;16-23;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Sergio Massa de Unión por la Patria;Milei;1.22943585334363;0.782605381427815;0.962163114947023;1.19501521232152;1.14979955909635;0.975018551558523;1.12107590069275;1.06215796113892;1.19075969296179;1.04072484306858;1.23925319459005;1.02051738530178;1.26467942986992;1.21027183995248;1.53060590053872;0.991546986539958;1.51766766825945
2023-10-22;CATI;CABA;Caba;Femenino;43;30-49;Nivel Primario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Sergio Massa de Unión por la Patria;Milei;0.965480472561764;1.35487470834298;1.30810507367296;1.19501521232152;1.56320546235415;1.01722963584054;1.59013892321446;0.99762896970369;1.58636865565217;1.04072484306858;1.65097327020252;1.02051738530178;1.68484692491021;1.21027183995248;2.03912278784936;1.01748500887313;2.0747768678883
2023-10-22;CATI;CABA;Caba;Masculino;25;24-29;Nivel Secundario, ya sea completo o incompleto;Javier Milei de la Libertad Avanza;Javier Milei de La Libertad Avanza;Javier Milei de La Libertad Avanza;Sergio Massa de Unión por la Patria;Milei;0.864844548930302;0.974540737993226;0.842826244963955;1.19501521232152;1.00719018407575;1.00421845030429;1.01143896581424;1.04417463053501;1.0561189084378;0.959331845450532;1.01316850144684;1.02051738530178;1.03395606996665;1.21027183995248;1.25136791522857;0.990908928351923;1.23999163985312
