fecha;metodo;comuna;sexo;edad;estudios;imagen_bulrich;imagen_larreta;imagen_lousteau;imagen_jorge_macri;imagen_masa;votaria_lousteau;votaria_jorge_macri;P12;P13;votaria_nacional;sufragara_paso;Voto_2021;pon2
2023-08-13;CATI;Comuna 01;Femenino;18-29;Nivel Secundario, ya sea completo o incompleto;Algo negativa;Algo positiva;Algo positiva;Algo positiva;Algo negativa;Podría llegar a votarlo;Seguro lo votaría;Jorge Macri de Juntos;;Horacio Rodríguez Larreta y Gerardo Morales de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;1.16754
2023-08-13;CATI;Comuna 01;Femenino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;Algo positiva;Muy Negativa;Muy Positiva;Muy Negativa;Podría llegar a votarlo;Seguro lo votaría;Jorge Macri de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.8006
2023-08-13;CATI;Comuna 01;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Muy Negativa;Muy Negativa;Algo negativa;Muy Negativa;Nunca lo votaría;Nunca lo votaría;Ramiro Marra de La Libertad Avanza;No, no haría eso;Javier Milei y Victoria Villarruel de La Libertad Avanza;Muy probable;Javier Milei de Libertad Avanza;0.77296
2023-08-13;CATI;Comuna 01;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Algo positiva;Algo positiva;Algo positiva;Algo negativa;Podría llegar a votarlo;Seguro lo votaría;Jorge Macri de Juntos;;Horacio Rodríguez Larreta y Gerardo Morales de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.77296
2023-08-13;CATI;Comuna 02;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;Algo positiva;Algo positiva;Muy Positiva;Muy Negativa;Podría llegar a votarlo;Seguro lo votaría;Jorge Macri de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.85028
2023-08-13;CATI;Comuna 02;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Positiva;No conoce o no tiene opinión formada;Muy Negativa;Muy Positiva;Muy Negativa;No sabe - No tiene opinión formada;Podría llegar a votarlo;Jorge Macri de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.85028
2023-08-13;CATI;Comuna 02;Masculino;30-49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy Negativa;Algo negativa;Algo negativa;Algo negativa;Muy Positiva;Nunca lo votaría;Nunca lo votaría;Leandro Santoro del Frente de Todos/ Unión por la Patria;No, no haría eso;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Muy probable;Leandro Santoro del Frente de Todos;0.98199
2023-08-13;CATI;Comuna 02;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Algo positiva;Algo positiva;Algo positiva;Muy Negativa;Podría llegar a votarlo;Podría llegar a votarlo;Jorge Macri de Juntos;;Patricia Bullrich y Luis Petri de Juntos por el Cambio;Muy probable;Javier Milei de Libertad Avanza;0.85028
2023-08-13;CATI;Comuna 02;Femenino;Más de 50;Nivel Secundario, ya sea completo o incompleto;No conoce o no tiene opinión formada;Algo positiva;Algo positiva;No conoce o no tiene opinión formada;Algo positiva;Nunca lo votaría;No sabe - No tiene opinión formada;Leandro Santoro del Frente de Todos/ Unión por la Patria;No, no haría eso;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Muy probable;No sabe/ No contesta;1.08197
2023-08-13;CATI;Comuna 02;Masculino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Algo positiva;Muy Positiva;Algo positiva;Muy Positiva;Muy Negativa;Seguro lo votaría;Seguro lo votaría;Jorge Macri de Juntos;;Horacio Rodríguez Larreta y Gerardo Morales de Juntos por el Cambio;Muy probable;María Eugenia Vidal de Juntos por el Cambio;0.89786
