P2;P3a;P4;P4.1;P5;P6;P7;Ponde;Ponde2;Sociodemografico;PondeJdg;SoloJGB;EdadmasJGB;EdadJGB
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;No sabe / No contesta;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;En blanco/ No votaría;Patricia Bullrich por Juntos por el Cambio;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Horacio R Larreta;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Jorge Macri de Juntos;Juan Grabois y Paula Abal Medina del Frente de Todos/Unión por la Patria;Jorge Macri de JXC;0.9;3.3;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Horacio R Larreta;Ramiro Marra de LA;0.8;3.2;0.8;1.0;1.32;1.0;1.32
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Horacio R Larreta;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Vanina Biasi del FIT;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Vanina Biasi o Adaro del FIT;0.9;3.3;0.8;0.8;0.78;0.7;0.78
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Jorge Macri de Juntos;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;En blanco/ No votaría;En blanco/ No votaría;0.9;3.3;0.8;0.9;1.0;0.8;1.0
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Leandro Santoro de Unión por la Patria;Patricia Bullrich por Juntos por el Cambio;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Horacio R Larreta;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Leandro Santoro de Unión por la Patria;Patricia Bullrich por Juntos por el Cambio;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;En blanco/ No votaría;Otros;0.8;3.2;0.8;0.9;1.0;0.8;1.0
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;En blanco/ No votaría;En blanco/ No votaría;0.8;3.2;0.8;0.9;1.0;0.8;1.0
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;En blanco/ No votaría;En blanco/ No votaría;0.9;3.3;0.8;0.9;1.0;0.8;1.0
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Leandro Santoro de Unión por la Patria;Horacio R Larreta;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Horacio R Larreta;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Juan Grabois y Paula Abal Medina del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei y Victoria Villarruel de La Libertad Avanza;Ramiro Marra de la Libertad avanza;Javier Milei y Victoria Villarruel de La Libertad Avanza;Ramiro Marra de LA;0.9;3.6;0.8;1.0;1.32;1.0;1.32
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei y Victoria Villarruel de La Libertad Avanza;Leandro Santoro de Unión por la Patria;Javier Milei y Victoria Villarruel de La Libertad Avanza;Leandro Santoro de UPX;0.9;3.6;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;No sabe / No contesta;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;No sabe/ no contesta;Patricia Bullrich por Juntos por el Cambio;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;No sabe / No contesta;Jorge Macri de Juntos;Otro;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;No sabe / No contesta;Jorge Macri de Juntos;Horacio R Larreta;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Juan Grabois y Paula Abal Medina del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Juan Grabois y Paula Abal Medina del Frente de Todos/Unión por la Patria;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Leandro Santoro de Unión por la Patria;Otro;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;No sabe / No contesta;No sabe/ no contesta;No sabe / No contesta;No sabe/ No tiene opinión formada;0.8;3.2;0.8;0.9;1.0;0.8;1.0
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Leandro Santoro de UPX;0.8;3.2;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;No sabe / No contesta;No sabe/ no contesta;No sabe / No contesta;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Vanina Biasi del FIT;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Ramiro Marra de LA;0.9;3.3;0.8;1.0;1.32;1.0;1.32
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Horacio R Larreta;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei y Victoria Villarruel de La Libertad Avanza;Ramiro Marra de la Libertad avanza;Javier Milei y Victoria Villarruel de La Libertad Avanza;Jorge Macri de JXC;0.9;3.6;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;No sabe/ no contesta;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Otros;0.9;3.3;0.8;0.9;1.0;0.8;1.0
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;No sabe/ no contesta;Horacio R Larreta;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;En blanco/ No votaría;En blanco/ No votaría;Javier Milei y Victoria Villarruel de La Libertad Avanza;Leandro Santoro de UPX;0.9;3.4;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Ramiro Marra de la Libertad avanza;Patricia Bullrich por Juntos por el Cambio;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Vanina Biasi del FIT;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Vanina Biasi o Adaro del FIT;0.9;3.3;0.8;0.8;0.78;0.7;0.78
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Horacio R Larreta;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;M Lousteau de JXC;0.8;3.2;0.8;1.1;1.72;1.2;1.72
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Ramiro Marra de la Libertad avanza;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Patricia Bullrich por Juntos por el Cambio;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Javier Milei y Victoria Villarruel de La Libertad Avanza;Ramiro Marra de la Libertad avanza;Javier Milei y Victoria Villarruel de La Libertad Avanza;Jorge Macri de JXC;0.9;3.6;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;En blanco/ No votaría;En blanco/ No votaría;Horacio R Larreta;En blanco/ No votaría;0.9;3.4;0.8;0.9;1.0;0.8;1.0
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;Horacio R Larreta;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Patricia Bullrich;Jorge Macri de Juntos;En blanco/ No votaría;Jorge Macri de JXC;0.8;3.2;0.8;0.8;0.87;0.8;0.87
Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de Unión por la Patria;Sergio Massa y Agustín Rossi del Frente de Todos/Unión por la Patria;Leandro Santoro de UPX;0.9;3.3;0.8;0.9;1.05;0.9;1.05
