plaza;estrato;Sexo;Edad;estudios;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;LARRETA;MANES;VIDAL;CFK;SCIOLI;MACRI;MASSA;BULLRICH;MILEI;LOUSTEAU;KICILLOF;SANTILLI;zona;weight
Caba;1;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Mala;Muy buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Mala;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;;AMBA;1.2958830000000001
Gba;2;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Muy mala;Muy mala;Buena;Muy mala;Buena;Buena;Buena;Muy mala;Buena;Martín Tetaz por Juntos;Mauricio Macri y Miguel Pichetto;Algunas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.679716
Gba;2;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Ninguno de los dos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Muy mala;Buena;Muy mala;Muy mala;Muy buena;Mala;Muy buena;Mala;Buena;Muy mala;Buena;Joaquín De La Torre por Juntos;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;AMBA;0.679716
Gba;2;Mujer;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Mala;Muy buena;Muy mala;Mala;Muy buena;Muy mala;Muy buena;Buena;Muy buena;Muy mala;Buena;Martín Tetaz por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.679716
Gba;2;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Indeciso;Indeciso;Indeciso;Indeciso;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Ns/Nc;Buena;Muy mala;Muy mala;Buena;Muy mala;Buena;Ns/Nc;Mala;Muy mala;Buena;José Luis Espert por la Libertad Avanza ;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Ns Nr;Negativa;Negativa;Positiva;AMBA;0.711
Gba;2;Mujer;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No sabe/ no tiene opinión formada;No sabe;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Muy mala;Muy buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Muy mala;Muy buena;Muy mala;Muy buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;AMBA;0.679716
Gba;2;Hombre;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Muy mala;Buena;Muy mala;Mala;Mala;Mala;Buena;Mala;Buena;Muy mala;Mala;Martín Tetaz por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;AMBA;0.679716
Gba;2;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Mala;Buena;Muy mala;Muy mala;Buena;Muy mala;Muy buena;Mala;Mala;Muy mala;Buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Positiva;AMBA;0.679716
Gba;2;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;No sabe;No sabe;Nunca lo votaría;No sabe;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Muy mala;Buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Buena;Muy mala;Muy mala;Buena;José Luis Espert por la Libertad Avanza ;Mauricio Macri y Miguel Pichetto;Algunas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;Positiva;AMBA;0.679716
Gba;2;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Mala;Muy buena;Muy mala;Muy mala;Muy buena;Muy mala;Buena;Buena;Buena;Muy mala;Buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;AMBA;0.679716
Gba;2;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Ns/Nc;Muy buena;Muy mala;Muy mala;Buena;Mala;Buena;Ns/Nc;Buena;Muy mala;Buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Ns Nr;Positiva;Negativa;Positiva;AMBA;0.679716
Rosario;3;Mujer;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Indeciso;Buena;Mala;Buena;Muy mala;Muy mala;Mala;Muy mala;Buena;Mala;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;;Grandes;0.737076
Rosario;3;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Mala;Muy buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Mala;Mala;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Negativa;Negativa;;Grandes;0.737076
Córdoba;3;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Ninguno de los dos;Ninguno de los dos;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Buena;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.737076
Córdoba;3;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;No sabe/ no tiene opinión formada;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Daniel Scioli por el Frente de Todos;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Buena;Muy mala;Buena;Buena;Buena;Muy buena;Ns/Nc;Ns/Nc;Ns/Nc;;;Roberto Lavagna;Muchas;Positiva;Ns Nr;Positiva;Negativa;Positiva;Positiva;Positiva;Positiva;Ns Nr;Ns Nr;Ns Nr;;Grandes;0.737076
Córdoba;3;Mujer;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;No sabe/ no tiene opinión formada;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Muy mala;Muy mala;Buena;Muy mala;Muy buena;Buena;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.737076
Córdoba;3;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Juan Schiaretti por el peronismo federal;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Indeciso;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Muy buena;Muy mala;Muy mala;Buena;Muy mala;Muy buena;Muy buena;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.737076
Córdoba;3;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Buena;Muy buena;Mala;Mala;Buena;Buena;Buena;Mala;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;Negativa;;Grandes;0.810321
Córdoba;3;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Muy buena;Muy mala;Mala;Muy buena;Mala;Muy buena;Buena;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.737076
Córdoba;3;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;El peronismo no kirchnerista de Schiaretti y Urtubey;Juan Schiaretti por el peronismo federal;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Daniel Scioli por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Mala;Mala;Mala;Mala;;;Alberto Fernández y Cristina Kirchner;Pocas;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;;Grandes;0.771
Mendoza;3;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;El peronismo no kirchnerista de Schiaretti y Urtubey;Daniel Scioli por el Frente de Todos;Indeciso;Javier Milei por Avanza Libertad;Juan Schiaretti por el peronismo federal;Myriam Bregman por el Frente de Izquierda;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Buena;Buena;Ns/Nc;Buena;Buena;Buena;Buena;Ns/Nc;Ns/Nc;Muy buena;Muy buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Positiva;Ns Nr;Positiva;Positiva;Positiva;Positiva;Ns Nr;Ns Nr;Positiva;Positiva;;Grandes;0.771
Mendoza;3;Mujer;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;No, no es un impedimento;No sabe;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Seguro lo votaría;Frente de Todos de Cristina y Alberto Fernández;Myriam Bregman por el Frente de Izquierda;Myriam Bregman por el Frente de Izquierda;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Juan Schiaretti por el peronismo federal;Ninguno de los dos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Mala;Muy buena;Buena;Mala;Buena;Muy mala;Muy mala;Buena;Muy buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Positiva;;Grandes;0.771
Mendoza;3;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;El peronismo no kirchnerista de Schiaretti y Urtubey;Daniel Scioli por el Frente de Todos;Indeciso;Javier Milei por Avanza Libertad;Juan Schiaretti por el peronismo federal;Myriam Bregman por el Frente de Izquierda;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Buena;Buena;Ns/Nc;Buena;Buena;Buena;Buena;Ns/Nc;Ns/Nc;Muy buena;Muy buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Positiva;Ns Nr;Positiva;Positiva;Positiva;Positiva;Ns Nr;Ns Nr;Positiva;Positiva;;Grandes;0.771
Mendoza;3;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;En Blanco;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Javier Milei por Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Ninguno de los dos;Javier Milei de Avanza Libertad;Buena;Ns/Nc;Buena;Muy mala;Mala;Muy buena;Muy mala;Muy buena;Muy buena;Mala;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;;Grandes;0.737076
Mendoza;3;Mujer;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;No, no es un impedimento;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Buena;Ns/Nc;Buena;Mala;Mala;Muy buena;Mala;Muy buena;Buena;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.737076
Tucumán;3;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Facundo Manes por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;En blanco;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Muy buena;Muy mala;Muy mala;Mala;Muy mala;Mala;Mala;Muy mala;Buena;Muy mala;;;Roberto Lavagna;Muchas;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;;Grandes;0.771
