plaza;estrato;Sexo;Edad;estudios;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;LARRETA;MANES;VIDAL;CFK;SCIOLI;MACRI;MASSA;BULLRICH;MILEI;LOUSTEAU;KICILLOF;SANTILLI;zona;weight
Rosario;3;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Buena;Muy buena;Muy mala;Mala;Buena;Muy mala;Muy buena;Buena;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.810321
Córdoba;3;Mujer;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Indeciso;Muy buena;Buena;Buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Muy mala;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Negativa;Positiva;Negativa;;Grandes;0.737076
Córdoba;3;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;No, no es un impedimento;No sabe;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Javier Milei por Avanza Libertad;Ninguno de los dos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Indeciso;Muy buena;Mala;Muy buena;Muy mala;Muy mala;Muy buena;Buena;Buena;Buena;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Algunas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Positiva;Positiva;Positiva;Positiva;Negativa;;Grandes;0.737076
Mendoza;3;Hombre;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Mala;Muy buena;Muy mala;Muy mala;Muy buena;Muy mala;Muy buena;Muy buena;Muy mala;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Negativa;;Grandes;0.737076
Mar del Plata;4;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Ns/Nc;Ns/Nc;Muy mala;Mala;Mala;Mala;Mala;Buena;Muy mala;Mala;Buena;Diego Santilli por Juntos;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Ns Nr;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Grandes;0.917
Tucumán;3;Hombre;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Buena;Muy buena;Muy mala;Mala;Buena;Muy mala;Muy buena;Buena;Buena;Muy mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.810321
Pedernal;9;Hombre;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;No sabe;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Muy buena;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Muy buena;Mala;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;;Chicas;1.717
Pedernal;9;Mujer;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;No sabe/ no tiene opinión formada;Un liderazgo que genere diálogo y  consensos ;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Muy buena;Muy mala;Muy mala;Mala;Muy mala;Muy mala;Muy mala;Muy mala;Muy mala;Muy mala;Muy mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;;Chicas;1.804567
Termas R Hondo;8;Hombre;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;No sabe/ no tiene opinión formada;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Esta indeciso;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Javier Milei por Avanza Libertad;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Muy buena;Ns/Nc;Muy buena;Mala;Buena;Muy mala;Buena;Buena;Mala;Buena;Ns/Nc;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Positiva;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Positiva;Ns Nr;;Chicas;2.182
Termas R Hondo;8;Mujer;Entre 18 y 29 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;No, no es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Muy buena;Ns/Nc;Ns/Nc;Buena;Buena;Mala;Muy buena;Mala;Ns/Nc;Ns/Nc;Buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Ns Nr;Positiva;Positiva;Negativa;Positiva;Negativa;Ns Nr;Ns Nr;Positiva;;Chicas;2.182
