plaza;estrato;metodo;sexo;edad;estudios;paso_sufragara;paso_votaria;p5o;p6;paso_importa;pondedad;pondestudios;pondedadestudios;pondestrato;pondedadestudiosestrato;pondestudios2;pondedadestudiosestratoestudios2;pondedad2;pondedadestudiosestratoestudios2edad2;pondsexo;pondedadestudiosestratoestudios2edad2sexo;PROBABILIDAD_VOTO_PASO;IMPORTANCIA_PASO
Miramar;8;Presencial;Masculino;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03070018050542;0.840537014502872;0.8663416525695969;1.413622962935;1.2246804538194378;1.02565145013214;1.2560952834083938;1.02833431789509;1.2916858864750105;1.02399045775466;1.3226740221667797;Probable;Importante
Miramar;8;Presencial;Femenino;30 a 49;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Nada importante;1.03463732782369;0.840537014502872;0.8696509706221537;1.413622962935;1.2293585818101875;1.02565145013214;1.26089341216601;1.00796058633095;1.2709308630276837;0.978831577726991;1.244027261839314;Probable;No importante
Miramar;8;Presencial;Masculino;Más de 50;Nivel Secundario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;0.941521349862259;0.979268073305836;0.9220017982559243;1.413622962935;1.3033629138819378;1.00269534323067;1.3068759242889758;0.968864316292147;1.2661854488649062;1.02399045775466;1.296561817385465;Probable;Importante
San Vicente;7;Presencial;Femenino;Más de 50;Nivel Primario, ya sea completo o incompleto;Algo probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Poco importante;0.941521349862259;1.22650294224848;1.1547787057958212;0.910392314400873;1.0513016585903026;0.978716238768085;1.0289260051061504;0.968864316292147;0.9968896904523805;0.978831577726991;0.9757871085252753;Probable;No importante
San Vicente;7;Presencial;Masculino;Más de 50;Nivel Primario, ya sea completo o incompleto;Algo probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;0.941521349862259;1.22650294224848;1.1547787057958212;0.910392314400873;1.0513016585903026;0.978716238768085;1.0289260051061504;0.968864316292147;0.9968896904523805;1.02399045775466;1.0208055304572343;Probable;Importante
San Vicente;7;Presencial;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03463732782369;1.22650294224848;1.268985726735861;0.910392314400873;1.1552748527047343;0.978716238768085;1.130686258582531;1.00796058633095;1.139687184157196;1.02399045775466;1.1670288014022465;Probable;Importante
Baradero;8;Presencial;Femenino;18 a 29;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Muy importante;1.03070018050542;0.840537014502872;0.8663416525695969;1.413622962935;1.2246804538194378;1.02565145013214;1.2560952834083938;1.02833431789509;1.2916858864750105;0.978831577726991;1.2643429341860215;Probable;Importante
Baradero;8;Presencial;Masculino;30 a 49;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Algo importante;1.03463732782369;1.22650294224848;1.268985726735861;1.413622962935;1.7938673629505721;0.978716238768085;1.7556871183158071;1.00796058633095;1.7696634171912968;1.02399045775466;1.8121184526413918;Probable;Importante
Pergamino;7;Presencial;Masculino;Más de 50;Nivel Primario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Poco importante;0.941521349862259;1.22650294224848;1.1547787057958212;0.910392314400873;1.0513016585903026;0.978716238768085;1.0289260051061504;0.968864316292147;0.9968896904523805;1.02399045775466;1.0208055304572343;Probable;No importante
Pergamino;7;Presencial;Femenino;Más de 50;Nivel Universitario o Terciario, ya sea completo o incompleto;Muy probable;Horacio Rodríguez Larreta – Gerardo Morales de Juntos por el Cambio;;10 Seguro votará;Nada importante;0.941521349862259;0.840537014502872;0.7913835445039372;0.910392314400873;0.7204694966597057;1.02565145013214;0.7389505840250002;0.968864316292147;0.7159428523650646;0.978831577726991;0.7007874717428584;Probable;No importante
